example,stiffness,friction,target_force,penetration,force,normal_kp,normal_kd,y_gain,target_scale
295,795.3500,0.1131,7.4701,0.00413,3.2469,193.5936,32.7651,8.4314,0.5281
296,658.4675,0.0876,12.7717,0.00705,4.2791,182.4538,31.4548,7.4147,0.6378
297,742.2446,0.8493,16.4633,0.03577,26.6656,198.7819,36.0000,5.5979,0.5659
298,622.0193,0.2538,14.4212,0.00014,0.3470,189.2660,28.6906,7.3746,0.6752
299,476.3719,0.2590,15.2672,0.00025,0.4687,169.0125,24.3633,7.6054,0.8817
300,420.6310,0.5261,7.3122,0.00972,4.2409,134.8516,27.8273,5.3906,0.9985
301,815.9210,0.3298,20.3293,0.00359,2.8487,205.0000,35.1159,7.7002,0.5148
302,623.9695,0.0694,19.3751,0.00634,4.0646,192.2786,30.2739,8.2320,0.6731
303,377.8806,0.7486,20.5846,0.00846,3.2226,159.8784,28.3252,4.4559,1.1115
304,760.6577,0.8302,9.7802,0.00803,6.5926,186.1113,36.0000,4.1130,0.5522
305,516.6085,0.3142,9.5964,0.01347,7.0918,148.0013,29.0120,7.3147,0.8130
306,310.1215,0.3044,10.2614,0.02716,8.2349,115.9765,22.7391,6.9560,1.3543
307,579.1953,0.1969,20.1278,0.03227,18.6796,155.0653,29.9510,6.7751,0.7251
308,713.1815,0.4500,17.5589,0.03443,24.4081,187.0455,35.9954,5.7100,0.5889
309,936.0065,0.7320,12.6052,0.00562,4.7840,205.0000,36.0000,5.4034,0.4487
310,524.3571,0.7831,19.9854,0.03968,20.2604,144.2585,32.9952,4.3111,0.8010
311,621.4810,0.0649,14.1413,0.00071,0.3199,188.6293,27.1637,7.3274,0.6758
312,228.1288,0.6805,13.0623,0.03086,6.7448,113.1178,23.2879,4.7695,1.8411
313,911.2793,0.3421,21.0990,0.01636,14.9030,205.0000,36.0000,6.6789,0.4609
314,480.9060,0.1454,14.2591,0.00804,4.3046,159.0358,26.5906,8.3323,0.8734
315,313.7875,0.8128,13.2343,0.00452,1.3505,138.2125,23.9162,5.5424,1.3385
316,905.2413,0.8436,11.8348,0.01172,10.8614,202.9278,36.0000,4.0567,0.4640
317,630.4421,0.7545,17.3323,0.00906,5.9438,184.6210,35.9491,5.1890,0.6662
318,829.9063,0.7866,9.0331,0.01080,8.8094,189.9781,36.0000,4.5230,0.5061
319,246.6836,0.2989,15.5059,0.00421,0.6159,134.7605,17.7917,7.3448,1.7026
320,334.1180,0.4611,15.0976,0.03197,11.3206,123.4270,24.7126,7.0727,1.2570
321,892.6058,0.7987,16.9760,0.00540,4.9271,205.0000,36.0000,4.9913,0.4705
322,608.9407,0.2515,7.4220,0.00167,1.2276,169.9689,28.2806,7.5120,0.6897
323,889.7924,0.2383,13.5499,0.00684,6.3943,205.0000,36.0000,7.8918,0.4720
324,671.5669,0.6568,12.3970,0.01248,8.7148,173.8357,36.0000,6.3704,0.6254
325,854.5576,0.2234,11.0092,0.00066,0.8658,205.0000,35.4239,6.6617,0.4915
326,454.6323,0.5758,17.9082,0.01732,7.8792,155.2586,29.2455,6.3214,0.9238
327,397.3444,0.2573,19.4860,0.02873,11.2997,142.6114,24.9787,7.3868,1.0570
328,547.1600,0.7184,8.6629,0.00341,2.0748,161.5679,30.1619,4.5842,0.7676
329,804.6817,0.1542,10.9327,0.00303,2.2480,204.8086,33.3744,7.5460,0.5219
330,244.7746,0.5192,15.5246,0.02142,5.2307,124.3627,22.4969,6.4068,1.7159
331,609.0349,0.5498,10.3220,0.00416,2.7932,172.9187,30.6694,6.2742,0.6896
332,829.3566,0.6058,20.4360,0.01888,15.4204,200.4380,36.0000,6.4795,0.5064
333,558.0243,0.8369,7.6450,0.00090,0.8358,163.6839,31.4358,5.1751,0.7527
334,726.6729,0.4584,20.0175,0.02507,18.3820,177.5992,36.0000,6.1847,0.5780
335,857.2319,0.5946,14.7325,0.00276,2.1379,205.0000,36.0000,5.7123,0.4899
336,265.7305,0.8175,18.6150,0.05282,14.3996,106.4687,25.7155,5.3720,1.5805
337,913.6981,0.0898,12.0904,0.01099,10.5857,205.0000,36.0000,7.2916,0.4597
338,476.0805,0.6748,9.0666,0.00267,1.3724,153.3393,27.6805,5.0193,0.8822
339,682.9542,0.7849,14.7319,0.00872,5.8471,186.9896,36.0000,4.8021,0.6150
340,797.0953,0.8303,20.7175,0.03789,29.6517,204.2194,36.0000,5.4642,0.5269
341,346.3885,0.5380,14.3265,0.02590,8.9007,128.8951,25.6960,6.3731,1.2125
342,900.3836,0.1874,14.3032,0.00094,0.6345,205.0000,36.0000,7.3184,0.4665
343,590.7395,0.6311,18.5696,0.01065,6.6035,179.9363,33.7712,5.5059,0.7110
344,396.6944,0.4719,16.6113,0.04254,17.0572,125.4852,26.6760,6.7855,1.0587
345,482.7366,0.7723,12.6169,0.00611,2.9087,158.7686,31.6606,5.0012,0.8700
346,797.7362,0.6238,21.5549,0.00841,6.6703,205.0000,36.0000,5.4719,0.5265
347,876.3604,0.1768,14.9293,0.00827,7.0563,205.0000,36.0000,7.7527,0.4793
348,513.3816,0.5443,8.7594,0.00579,3.3877,153.8250,30.7556,6.3575,0.8181
349,533.0291,0.8084,8.7678,0.00756,4.3184,154.7431,33.4577,5.6477,0.7879
350,449.2717,0.3832,9.9110,0.02115,9.7031,132.8480,27.5441,7.5510,0.9348
351,846.2172,0.2741,13.4774,0.01593,13.4123,192.0758,36.0000,6.4487,0.4963
352,400.9128,0.1418,12.4326,0.02099,8.4905,133.8095,24.1618,7.0044,1.0476
353,520.9626,0.7237,14.5859,0.01224,6.7866,160.3030,32.4186,5.8501,0.8062
354,485.8262,0.4486,8.3105,0.00480,2.5668,150.5100,26.1638,6.3198,0.8645
355,878.0027,0.4614,12.0008,0.00922,8.1498,205.0000,36.0000,6.7885,0.4784
356,699.7091,0.3206,21.3399,0.03937,27.7094,183.9693,34.5559,6.2535,0.6002
357,842.6973,0.4642,19.4915,0.01549,12.7669,205.0000,36.0000,6.7929,0.4984
358,432.3535,0.3358,16.8951,0.04057,17.0329,130.1562,26.6570,7.2496,0.9714
359,662.2472,0.4244,6.5839,0.00408,1.9456,174.5412,31.2627,7.1980,0.6342
360,324.8822,0.2508,6.6118,0.01294,4.2733,118.8771,22.7526,7.0464,1.2928
361,751.9811,0.5113,13.1531,0.00049,0.0636,205.0000,34.6495,6.8161,0.5585
362,798.3206,0.2998,6.6161,0.00062,0.3052,198.6321,34.3477,6.3410,0.5261
363,635.8337,0.6240,8.8409,0.01140,7.2261,163.9275,35.0666,6.5639,0.6606
364,679.9550,0.3356,19.0874,0.00577,4.0956,199.9753,34.0835,6.2456,0.6177
365,453.8439,0.3674,14.0275,0.02968,13.3789,134.5037,27.5542,6.7461,0.9254
366,812.7348,0.6302,21.6269,0.00731,5.7060,205.0000,36.0000,4.9760,0.5168
367,208.9658,0.4000,13.2723,0.06669,13.6142,75.8384,21.0330,5.7724,2.0000
368,892.3811,0.1936,14.3221,0.01273,10.8018,205.0000,36.0000,6.7868,0.4707
369,468.6576,0.1288,12.3545,0.02615,12.2625,135.5010,26.0905,8.1158,0.8962
370,239.2181,0.6222,10.9635,0.00565,1.1593,122.4519,23.1542,6.0112,1.7557
371,396.9010,0.8035,16.5615,0.04207,17.0914,125.7009,29.3350,4.3145,1.0582
372,233.8275,0.7071,8.9122,0.00353,0.3464,118.9188,20.6714,5.9141,1.7962
373,836.7393,0.1843,6.5052,0.00330,3.1195,197.9595,34.5767,7.9222,0.5019
374,685.9396,0.5601,7.5776,0.00013,0.2294,184.0569,33.0588,6.3259,0.6123
375,389.3180,0.8051,13.6314,0.02452,9.6006,132.2655,29.1200,5.6865,1.0788
376,933.6887,0.2228,9.2578,0.00548,5.5955,205.0000,36.0000,6.6641,0.4498
377,210.4883,0.1368,18.5478,0.02389,4.7757,126.8720,18.4090,7.1486,1.9954
378,693.7289,0.8178,8.5082,0.00566,4.1612,178.6228,36.0000,5.5071,0.6054
379,719.0215,0.8373,9.4409,0.01711,12.4222,179.4121,36.0000,5.4773,0.5841
380,283.7533,0.5869,14.9116,0.02237,6.1147,126.9161,24.2077,5.7818,1.4802
381,334.3389,0.1285,11.0315,0.00188,0.3024,138.7547,19.0579,7.9024,1.2562
382,256.4725,0.3688,9.9828,0.04337,11.7708,107.4046,21.6448,6.3054,1.6376
383,665.6756,0.7879,16.6906,0.00288,2.1960,196.7393,34.2736,4.9588,0.6309
384,849.8737,0.5010,12.4908,0.00801,6.8773,204.8308,36.0000,5.6008,0.4942
385,226.6484,0.2984,17.3941,0.01480,3.1083,130.4260,20.1865,6.9979,1.8531
386,410.4605,0.7559,16.6573,0.02892,11.4600,138.0031,29.3612,5.9856,1.0232
387,701.0450,0.2646,9.4670,0.01190,8.2946,172.7359,34.1481,7.8802,0.5991
388,191.0624,0.6084,13.3647,0.04230,7.6834,106.1583,21.5991,5.0447,2.0000
389,353.6941,0.7382,11.6772,0.01199,4.6146,133.5919,27.5166,4.4995,1.1875
390,900.0955,0.1998,20.7672,0.02357,20.7586,200.0331,36.0000,6.7607,0.4666
391,744.8476,0.4804,7.8831,0.00270,1.3999,190.9901,34.1883,5.9757,0.5639
392,778.4713,0.3146,10.8849,0.00672,5.0532,194.6003,36.0000,7.6644,0.5395
393,705.5513,0.8506,16.8597,0.01515,10.4530,184.9274,36.0000,5.0851,0.5953
394,767.7362,0.1305,14.2348,0.00135,1.3339,205.0000,32.0763,7.5858,0.5471
395,942.5666,0.1589,7.2188,0.00191,1.4342,205.0000,36.0000,8.3515,0.4456
396,739.8097,0.5921,8.3394,0.00967,6.9132,179.1090,36.0000,5.1433,0.5677
397,456.3889,0.1933,20.5428,0.03129,14.4400,146.8847,26.2383,6.9218,0.9203
398,499.8504,0.6794,20.4259,0.02865,14.9805,151.9575,31.4304,4.7467,0.8403
399,687.5862,0.2064,12.5767,0.00717,5.2044,184.3569,33.2791,7.2846,0.6108
400,874.4286,0.7654,14.0491,0.00957,8.5322,205.0000,36.0000,4.3855,0.4803
401,503.9803,0.1868,15.3210,0.01266,6.7319,159.4929,27.6142,7.8565,0.8334
402,524.9507,0.3113,17.8199,0.02684,14.4168,151.2295,29.2389,7.4438,0.8001
403,590.8100,0.0772,16.2612,0.00853,5.0410,178.3060,29.3420,8.4845,0.7109
404,467.0950,0.2953,14.6194,0.00821,3.4478,159.6418,27.3755,7.5304,0.8992
405,811.3797,0.0914,9.2883,0.00178,1.1862,204.5316,33.0728,8.2573,0.5176
406,885.8556,0.3387,8.8545,0.00598,5.4516,205.0000,36.0000,6.1775,0.4741
407,769.6473,0.1044,16.6438,0.01927,14.8584,184.3751,34.9247,7.1615,0.5457
408,358.0777,0.4937,7.3540,0.00190,0.5187,133.7494,22.6921,6.2300,1.1729
409,428.8370,0.7028,8.0398,0.03358,14.7961,144.1894,29.4876,5.0794,0.9794
410,783.1939,0.8536,8.6136,0.01196,9.1848,183.7356,36.0000,4.8132,0.5363
411,866.1941,0.5450,14.0515,0.00216,1.8156,205.0000,36.0000,6.3472,0.4849
412,856.7358,0.1111,15.7778,0.01584,13.0548,199.5010,36.0000,7.4692,0.4902
413,472.4438,0.3348,15.3953,0.00470,2.3044,164.6665,24.8518,7.7019,0.8890
414,837.1581,0.2059,11.1927,0.01398,11.5304,191.3165,36.0000,7.5318,0.5017
415,387.5484,0.2129,13.8093,0.00634,2.3906,148.2534,24.3297,7.9945,1.0837
416,857.9024,0.1022,14.8095,0.00045,-0.0199,205.0000,34.5544,8.4058,0.4896
417,804.2219,0.2226,16.2454,0.00033,-0.2763,205.0000,33.9072,7.8903,0.5222
418,232.5413,0.2529,19.9322,0.00118,0.0423,143.6390,16.9998,7.8350,1.8061
419,771.3834,0.1104,16.2983,0.00289,1.9066,205.0000,32.0244,8.4797,0.5445
420,659.6182,0.8060,14.9865,0.01102,7.6847,180.0067,36.0000,5.2519,0.6367
421,758.5228,0.5410,20.6901,0.02484,18.6477,183.2715,36.0000,6.3472,0.5537
422,250.5779,0.7783,21.3849,0.01624,3.5714,141.7762,24.7439,5.9080,1.6761
423,423.5493,0.5633,9.4866,0.00894,3.9598,140.6913,28.2126,5.9688,0.9916
424,590.5768,0.0853,15.4494,0.00530,3.2231,180.4843,29.4000,8.8259,0.7112
425,769.2151,0.4998,12.8689,0.01702,12.4906,181.2144,36.0000,7.0536,0.5460
426,318.0502,0.4303,19.3137,0.00736,2.0947,150.5893,23.9840,6.7617,1.3205
427,873.1521,0.5344,18.6920,0.01858,16.5951,200.5861,36.0000,5.8706,0.4810
428,463.5707,0.7199,13.6567,0.01736,7.5259,148.0233,30.6666,6.1758,0.9060
429,689.8820,0.5135,10.2911,0.00927,6.3013,177.2598,35.8041,7.0015,0.6088
430,843.0452,0.4602,11.5756,0.02336,19.5126,205.0000,36.0000,6.5704,0.4982
431,512.9976,0.0840,13.2176,0.00406,2.1821,166.2276,24.0620,8.2994,0.8187
432,435.2527,0.5999,18.7398,0.03052,13.0298,142.8501,28.8564,5.5272,0.9650
433,878.2208,0.0677,10.5267,0.00184,1.1462,205.0000,34.8880,7.3158,0.4782
434,810.0736,0.4697,16.0782,0.00089,0.0901,205.0000,36.0000,5.6273,0.5185
435,496.2238,0.0722,16.4370,0.04187,20.7060,148.8252,26.4647,7.2966,0.8464
436,420.1943,0.7563,21.8883,0.04089,16.5868,139.6924,29.6564,5.4768,0.9995
437,340.5550,0.7648,10.1548,0.00647,2.2048,133.5734,27.3352,4.9033,1.2333
438,300.3477,0.6413,19.2546,0.05919,17.1538,100.7657,25.5097,4.7913,1.3984
439,431.0306,0.1016,10.0022,0.01876,7.6757,134.7731,24.7433,8.2281,0.9744
440,377.0299,0.5664,10.7282,0.01262,4.6850,134.8496,26.8420,6.4719,1.1140
441,742.5289,0.7931,12.1495,0.01082,7.9670,185.5807,36.0000,5.1839,0.5656
442,776.0306,0.6196,18.3995,0.01725,13.3849,192.4368,36.0000,5.0024,0.5412
443,904.8743,0.1574,12.3643,0.00172,1.2906,205.0000,36.0000,7.4208,0.4642
444,604.4075,0.7332,10.2643,0.00679,4.5876,168.1499,34.9976,5.4111,0.6949
445,208.4255,0.2261,20.8947,0.05937,12.3155,101.0576,19.4352,6.7621,2.0000
446,940.4914,0.5251,13.5071,0.00476,4.6341,205.0000,36.0000,6.3040,0.4466
447,438.8179,0.1676,11.3216,0.02872,12.0551,132.4364,25.5054,7.3987,0.9571
448,947.5674,0.1927,14.7066,0.00825,7.8851,205.0000,36.0000,7.5833,0.4432
449,253.1521,0.2024,19.6820,0.01110,3.2181,139.1935,20.2136,8.0698,1.6591
450,742.4710,0.5309,10.4110,0.00721,5.3299,187.5492,36.0000,5.3704,0.5657
451,497.3330,0.7078,8.7344,0.01900,9.8989,142.1619,31.5825,4.6272,0.8445
452,245.2475,0.3363,11.7833,0.03805,9.0622,107.7734,21.0480,7.2992,1.7126
453,310.7880,0.7739,20.9917,0.05118,15.8078,116.9624,26.6753,4.3266,1.3514
454,539.1014,0.4597,15.6428,0.00919,5.2011,168.8370,30.8507,5.6692,0.7791
455,225.8118,0.5664,9.1813,0.01314,2.8270,112.8511,22.3059,6.1498,1.8600
456,681.6519,0.6845,12.7144,0.01159,6.9970,179.8262,36.0000,4.7250,0.6162
457,624.8017,0.1006,6.7687,0.01268,8.2271,161.9288,30.5488,7.2933,0.6722
458,511.9341,0.2936,14.6912,0.01705,8.5775,155.2403,28.7068,7.5950,0.8204
459,695.7994,0.7790,12.4859,0.01590,10.9134,172.8295,36.0000,5.8531,0.6036
460,858.7133,0.3776,19.0532,0.00358,3.4042,205.0000,36.0000,6.9549,0.4891
461,718.1181,0.2478,6.8876,0.00961,7.2490,173.5128,34.5258,6.5593,0.5849
462,505.2041,0.2127,9.2716,0.01718,8.5588,142.3488,27.8577,8.0768,0.8313
463,821.1864,0.1180,16.3586,0.00306,2.8131,205.0000,33.5794,7.1045,0.5115
464,898.0123,0.7073,18.3188,0.01905,17.1295,202.3183,36.0000,4.6294,0.4677
465,673.1281,0.2735,6.8052,0.00270,1.7163,177.1648,30.3817,7.9759,0.6240
466,549.7779,0.2007,21.7456,0.02548,14.1154,164.2531,29.0991,6.7569,0.7639
467,396.4711,0.4457,10.8713,0.00212,0.6504,146.9565,23.4595,6.3886,1.0593
468,326.5915,0.1561,15.4959,0.00306,1.2678,145.2904,19.0463,6.9445,1.2860
469,490.9287,0.6780,9.3203,0.01286,6.2139,145.4735,31.1516,6.3087,0.8555
470,265.5394,0.0689,21.7993,0.00306,1.1289,150.3057,16.5171,8.4739,1.5817
471,349.2579,0.6460,9.7334,0.03856,13.7174,126.1536,26.6459,5.9196,1.2025
472,909.7617,0.2262,10.4979,0.00640,5.7677,205.0000,36.0000,7.6697,0.4617
473,331.2528,0.4882,9.4136,0.01496,4.6666,125.1312,24.8432,6.6994,1.2679
474,291.8956,0.1871,18.7300,0.02515,7.1622,134.2336,21.2539,8.2648,1.4389
475,831.8079,0.2496,9.7799,0.00150,1.5727,205.0000,34.9510,6.6539,0.5049
476,614.9432,0.3773,17.9121,0.01915,10.9637,172.5279,32.4664,7.3590,0.6830
477,421.1625,0.3421,12.6077,0.00815,3.4352,148.3537,26.3720,6.9426,0.9972
478,405.9644,0.4565,16.7046,0.01028,4.3404,153.0958,26.8307,5.6828,1.0346
479,440.8251,0.1656,19.8224,0.01007,4.4275,164.9925,25.5496,8.1662,0.9528
480,734.9798,0.5437,21.8869,0.01533,11.3369,198.4569,36.0000,6.5474,0.5714
481,546.1494,0.1795,20.0932,0.01954,11.2507,166.3759,28.8205,7.6273,0.7690
482,639.3064,0.7879,7.8935,0.00344,2.4091,172.9616,33.4820,4.2910,0.6570
483,756.9021,0.5958,17.8669,0.01049,7.5236,201.2905,36.0000,5.0975,0.5549
484,693.4417,0.5180,11.2578,0.00968,5.8782,180.8513,35.9472,6.4304,0.6057
485,317.2628,0.3861,9.9049,0.00443,1.4788,131.1269,20.6064,6.5822,1.3238
486,324.4876,0.2847,8.9643,0.00666,2.6627,127.5366,23.0119,7.0965,1.2943
487,429.7238,0.1345,6.7249,0.01593,7.3689,130.8754,24.9678,8.0064,0.9774
488,420.9737,0.5582,14.5627,0.01361,6.1546,146.6439,28.0946,6.7731,0.9977
489,641.4418,0.5452,16.7577,0.00801,5.9908,184.9034,34.6052,6.1451,0.6548
490,795.7528,0.1238,11.6515,0.00697,5.9612,196.8815,35.8632,7.7785,0.5278
491,218.3908,0.7949,16.8661,0.01332,3.0732,128.1030,23.9111,5.4437,1.9232
492,568.7028,0.3949,7.8224,0.00363,2.2517,162.5609,28.2199,5.9416,0.7385
493,232.8455,0.5914,6.7481,0.03615,8.7873,104.4131,22.7169,5.6603,1.8038
494,606.1144,0.1332,8.4374,0.00738,5.3055,162.8073,30.2488,8.2963,0.6929
495,734.7870,0.3363,10.6927,0.01851,13.5499,181.5040,35.7337,7.7611,0.5716
496,865.7683,0.6795,9.8289,0.00752,6.1511,202.9565,36.0000,4.9228,0.4851
497,743.6629,0.0766,14.6873,0.02152,15.8364,179.0774,33.9229,8.5758,0.5648
498,313.0433,0.6826,6.9177,0.00836,2.3277,122.0547,25.8524,6.2310,1.3417
499,246.0414,0.1118,14.4642,0.03523,8.7872,114.3957,19.2756,8.2231,1.7070
500,400.2885,0.4821,10.1196,0.02679,10.7330,126.3928,26.8655,6.1366,1.0492
501,271.1967,0.0616,9.7643,0.05963,15.8306,104.6838,20.0091,6.8965,1.5487
502,552.4966,0.4232,12.2751,0.01152,6.6801,160.1836,30.9605,5.8226,0.7602
503,231.2613,0.1513,20.9139,0.01711,4.2433,136.3645,19.1481,6.9646,1.8161
504,921.3544,0.1176,15.6948,0.01661,15.6393,203.3253,36.0000,7.3477,0.4559
505,587.1475,0.5421,13.0414,0.01263,7.7897,164.6258,32.9514,5.3231,0.7153
506,337.2396,0.5138,16.5573,0.01042,3.3928,144.5479,25.2276,6.4444,1.2454
507,221.2420,0.5950,8.6439,0.00083,-0.1020,117.4274,19.3974,6.6727,1.8984
508,435.3965,0.4523,9.5807,0.00361,1.7940,147.4403,24.6806,6.1601,0.9646
509,836.5606,0.7641,7.3850,0.00087,0.6808,205.0000,36.0000,5.9190,0.5021
510,423.3482,0.3858,14.3429,0.02468,10.3622,137.2598,26.7872,7.2620,0.9921
511,319.4377,0.0980,7.0330,0.00929,3.1558,121.4455,21.3668,7.9448,1.3148
512,404.0155,0.2392,18.7165,0.02387,10.1487,144.4516,25.0341,7.9700,1.0396
513,329.7121,0.0795,18.9663,0.05776,19.3558,102.8101,21.8589,7.7261,1.2738
514,542.4239,0.1913,15.9443,0.01039,5.2429,169.9066,28.8030,7.9608,0.7743
515,550.3856,0.1350,21.7386,0.00886,4.5395,185.3958,28.5914,7.0331,0.7631
516,465.6796,0.1925,15.0079,0.03611,16.7616,138.7100,26.5107,8.1759,0.9019
517,866.7910,0.7180,8.9025,0.00485,3.7624,205.0000,36.0000,5.6169,0.4845
518,530.6481,0.4915,16.4819,0.02749,14.6929,148.5331,30.8514,5.6333,0.7915
519,417.3218,0.1432,10.7608,0.00727,2.8179,145.0727,24.6649,7.6431,1.0064
520,261.1759,0.8392,20.2474,0.02814,6.9286,133.4777,25.5492,4.7720,1.6081
521,200.3749,0.5224,7.3055,0.01779,2.9234,104.6968,21.1901,5.7058,2.0000
522,902.4688,0.5104,8.2961,0.00256,2.4437,205.0000,36.0000,5.4797,0.4654
523,481.7286,0.5296,13.9258,0.03320,15.8129,141.4108,29.6887,6.4036,0.8719
524,759.7353,0.1787,7.8264,0.01429,11.3188,186.6435,35.2220,7.3932,0.5528
525,438.2179,0.6487,20.8747,0.01659,6.7035,161.9092,29.3362,5.6839,0.9584
526,819.2344,0.7738,10.4465,0.00526,4.0051,202.0562,36.0000,4.8635,0.5127
527,633.2885,0.2503,14.3309,0.00006,-0.2200,192.0051,29.0014,7.0301,0.6632
528,344.4759,0.1603,17.6057,0.05598,19.3680,109.7921,22.9018,7.6114,1.2192
529,288.1101,0.0768,19.0171,0.02944,9.5991,128.9362,20.2575,8.6310,1.4578
530,281.5724,0.7381,9.8683,0.04574,13.0909,113.6000,25.3715,5.0384,1.4916
531,955.1083,0.5736,21.6756,0.02192,21.2023,205.0000,36.0000,5.1960,0.4397
532,492.9975,0.2087,17.7685,0.01296,6.6030,163.5137,27.4594,7.2451,0.8519
533,803.5736,0.0644,20.9639,0.00522,3.8323,205.0000,35.6221,7.4242,0.5227
534,277.6649,0.2610,14.7499,0.00309,1.1016,136.6762,18.4179,6.6446,1.5126
535,794.6537,0.6312,19.2131,0.00615,4.9874,205.0000,36.0000,6.2787,0.5285
536,870.8932,0.2795,12.5003,0.00478,4.3820,205.0000,36.0000,7.3663,0.4823
537,233.3493,0.7437,8.5435,0.04672,10.7679,103.2116,23.9944,4.4165,1.7999
538,600.6925,0.4993,11.7520,0.01883,11.6336,155.3642,33.0154,5.5028,0.6992
539,418.8908,0.0776,12.4667,0.00885,3.8714,146.7433,24.1874,7.4613,1.0026
540,651.4975,0.1289,21.0383,0.01823,11.6496,183.3797,31.5765,7.4790,0.6447
541,461.7361,0.5807,9.5176,0.01754,7.9855,137.6310,29.4980,5.1609,0.9096
542,848.4117,0.2283,12.0777,0.02070,17.0140,203.1216,36.0000,7.0850,0.4950
543,714.3468,0.4342,21.7049,0.01145,8.3930,201.4382,35.9037,6.7814,0.5879
544,260.6735,0.5196,7.8326,0.04699,11.9565,111.2212,23.0285,5.7228,1.6112
545,608.8343,0.5715,17.7424,0.02297,14.1782,164.1665,33.8368,6.7934,0.6898
546,816.0826,0.6270,16.6528,0.01151,9.4448,203.2700,36.0000,5.6453,0.5147
547,663.3131,0.1116,18.7033,0.01669,11.1380,181.1407,31.7924,8.0506,0.6332
548,713.7004,0.1623,14.4468,0.01133,7.8970,186.4645,33.7093,6.9184,0.5885
549,575.0378,0.7129,9.6060,0.00708,4.1362,163.2892,33.9542,6.0785,0.7304
550,891.1558,0.7242,20.5300,0.01797,16.3591,205.0000,36.0000,5.8374,0.4713
551,840.5706,0.4247,17.7012,0.00743,6.3930,205.0000,36.0000,6.9998,0.4997
552,557.5779,0.7012,11.9490,0.01317,7.1162,159.2686,33.3373,6.2452,0.7533
553,543.9085,0.3229,14.6907,0.00123,0.8809,176.9679,26.9005,6.2438,0.7722
554,291.7253,0.6795,19.2131,0.00766,2.0340,146.5529,25.1877,6.1852,1.4397
555,770.3799,0.7147,13.2162,0.00953,7.4469,193.2495,36.0000,6.0949,0.5452
556,459.5117,0.1804,19.2482,0.05180,23.3109,136.2011,26.4056,7.1869,0.9140
557,601.6723,0.3166,13.6114,0.00307,1.4958,181.9050,28.5833,7.6386,0.6981
558,567.9575,0.2525,7.1392,0.00019,0.1733,165.5186,27.0584,7.8382,0.7395
559,345.2392,0.5125,20.6078,0.01517,5.4302,150.1767,25.4569,6.4820,1.2165
560,286.8998,0.8357,7.2137,0.00399,0.6803,122.4084,23.2923,5.3313,1.4639
561,595.3198,0.5068,21.0706,0.00693,3.6657,192.5889,32.9143,5.6823,0.7055
562,383.2572,0.4054,20.4834,0.04072,15.8520,132.6776,25.7408,6.3019,1.0959
563,338.3855,0.2947,9.1024,0.01889,6.2565,122.0189,23.5090,7.3193,1.2412
564,846.9062,0.6435,10.6349,0.00650,5.7189,202.8511,36.0000,4.8974,0.4959
565,892.9319,0.3161,10.3760,0.01185,10.3040,199.0983,36.0000,7.6808,0.4704
566,744.6636,0.1073,17.2246,0.02229,17.0841,177.0085,34.1980,8.2058,0.5640
567,904.0754,0.2258,16.4124,0.00506,5.4950,205.0000,36.0000,6.7646,0.4646
568,821.4644,0.4613,9.8250,0.00469,3.9578,201.1275,36.0000,6.0639,0.5113
569,803.0279,0.8352,20.7881,0.03785,30.4186,205.0000,36.0000,5.3705,0.5230
570,229.5898,0.1146,20.8676,0.00565,1.4927,142.0631,18.8047,8.2995,1.8293
571,297.9644,0.5551,7.3046,0.02919,9.0478,113.5297,24.3799,6.5948,1.4096
572,463.7529,0.2360,9.3339,0.01909,9.2075,134.8409,26.8005,6.6089,0.9057
573,912.5631,0.7048,15.0234,0.01675,15.3084,202.5114,36.0000,4.6397,0.4602
574,197.6742,0.3757,17.9107,0.02749,5.2566,122.4902,19.9356,6.9388,2.0000
575,682.1838,0.5291,11.7269,0.00924,5.6095,180.7858,35.6979,6.3663,0.6157
576,409.9934,0.3400,20.8775,0.04972,19.8023,124.2396,26.1429,6.7812,1.0244
577,756.0529,0.6230,8.0573,0.00123,0.0581,196.0063,35.6652,6.1982,0.5555
578,492.1364,0.1369,10.2013,0.01504,7.4158,144.9485,26.8592,7.0250,0.8534
579,612.8272,0.3888,16.2669,0.04046,24.5313,175.1058,32.4954,6.9227,0.6853
580,889.5038,0.4387,13.0136,0.01369,11.8447,200.9971,36.0000,5.7573,0.4722
581,588.0207,0.6894,21.6538,0.02027,11.9314,174.5923,34.1556,5.8274,0.7143
582,951.1700,0.7091,16.4613,0.00141,1.9676,205.0000,36.0000,6.0637,0.4416
583,946.0457,0.7473,12.8235,0.01122,10.6450,205.0000,36.0000,5.7703,0.4440
584,595.6749,0.6119,10.9258,0.02071,12.1144,156.9663,33.7651,5.0302,0.7051
585,569.8005,0.5736,20.1752,0.00962,5.4670,182.8281,32.6829,5.1908,0.7371
586,191.5322,0.4517,17.8787,0.02182,4.2681,123.6731,20.3595,7.2600,2.0000
587,365.7754,0.8308,13.8112,0.00194,0.6580,148.8033,25.6200,5.5342,1.1482
588,716.6263,0.7373,15.0408,0.01493,10.8772,181.6539,36.0000,4.5033,0.5861
589,282.1949,0.6712,17.8246,0.06280,18.0519,90.3814,25.2981,4.7220,1.4883
590,308.0210,0.8135,18.9565,0.00461,2.0436,148.4115,23.7484,4.6712,1.3635
